Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,CAN,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08,3.45,3.54,3.01,2.74,2.74,2.93,2.63,2.51,2.48,2.62,2.56,2.43,2.52,2.7,3.04,2.76,2.64,2.82,2.68,2.37,2.49,2.26,2.05,2.1,2.42,2.55,2.67,0,0,0
Canada,CAN,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1.24,0.89,0.9,1.06,1.17,1.27,0.99,0.89,0.7,0.71,0.81,0.64,0.57,0.5,0.59,0.72,0.65,0.54,0.64,0.54,0.69,0.8,0.59,0.44,0.47,0.42,0.36,0.28,0.35,0.34,0.31,0.26,0.25,0.18,0.19,0.19,0.23,0.25,0.2,0.16,0.15,0.17,0.17,0.2,0.21,0.27,0.36,0.44,0.46,0.45,0.49,0.46,0.51,0.52,0.58,0.57,0.44,0.36,0.39,0.46,0
Canada,CAN,Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,0,0,15.18,15.85,14.35,14.19,12.23,11.38,11.29,11.47,10.17,10.56,11.33,11.88,11.07,9.58,11.32,11.7,11.55,12.13,11.07,9.51,8.68,9.24,8.8,8.14,9.16,10.98,10.05,10.48,9.02,8.03,8.27,8.56,8.91,9.24,7.96,7.62,6.7,6.71,6.61,5.97,5.49,5.08,5.77,5,4.69,4.27,3.43,3.53,4.12,3.9,3.64,4.07,4.16,4.42,4.77,4.56,4.49,3.69,4.21
Canada,CAN,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,6.13,6.54,6.33,6.91,6.48,5.11,4,4.18,4.59,4.2,4.15,4.05,3.61,3.73,5.5,4.64,5.01,5.11,4.54,4.2,5.04,5.63,5.64,4.31,4.15,3.68,2.94,2.85,2.92,3.23,3.03,3.4,3.26,3.36,3.63,3.92,4.18,4.2,4.11,4.37,4.78,5.15,5.34,5.27,5.84,6.41,6.7,7.01,6.69,7.5,8.81,9.08,8.66,8.65,8.53,8.47,8.75,8.83,8.6,8.66,0
Canada,CAN,"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71,0,0,0,1.8,0,7.56,6.13,4.46,4.66,1.97,3.74,4.57,4.32,9.8,3.99,3.37,3.14,3.26,2.84,3.58,3.11,2.7,2.98,3.14,3.17,3.95,4.16,4.31,4.09,4.96,4.52
Canada,CAN,"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75,0,0,0,3.94,0,6.57,5.34,1.58,0.96,0.87,0.9,1.05,1,1.01,1,1.02,1.06,1.12,1.16,1.23,1.04,1.01,0.97,0.99,0.96,1.12,0.97,0.97,0.94,0.83,0.88
Canada,CAN,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9176000000,10073000000,10390000000,11049000000,12024000000,13035000000,12680000000,12744000000,12236000000,15135000000,15891000000,16837000000,17962000000,18190000000,15580000000,18440000000,19994000000,0,0,0,0,0,0,0,0,0
Canada,CAN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.56,50.51,50.45,50.38,50.31,50.26,50.22,50.19,50.17,50.15,50.13,50.11,50.1,50.08,50.06,50.03,49.99,49.95,49.89,49.84,49.8,49.76,49.73,49.7,49.67,49.65,49.64,49.62,49.61,49.6,49.59,49.57,49.55,49.53,49.52,49.51,49.5,49.51,49.52,49.53,49.54,49.54,49.55,49.56,49.57,49.57,49.58,49.6,49.61,49.61,49.61,49.61,49.6,49.59,49.59,49.59,49.59,49.6,49.61,49.62,49.63
Canada,CAN,"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,2.16,2.11,2.06,2.03,2.01,2,1.96,1.93,1.9,1.89,1.9,1.91,1.94,1.97,2.01,2.06,2.09,2.12,2.15,2.19,2.25,2.3,2.36,2.42,2.47,2.5,2.51,2.5,2.49,2.5,2.55,2.6,2.68,2.76,2.84,2.9,2.93,2.95,2.97,2.99,3.02,3.03,3.04,3.05,3.06,3.07,3.05,3.03,3.02,3.03,3.08,3.15,3.24,3.35,3.48,3.65,3.83,4.05,4.28,4.47,4.63
Canada,CAN,"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,5.59,5.56,5.51,5.45,5.41,5.39,5.39,5.44,5.51,5.58,5.62,5.64,5.63,5.58,5.53,5.48,5.43,5.41,5.38,5.34,5.29,5.24,5.19,5.14,5.13,5.16,5.23,5.35,5.5,5.68,5.89,6.12,6.39,6.67,6.91,7.11,7.25,7.33,7.39,7.46,7.55,7.68,7.81,7.95,8.08,8.19,8.27,8.34,8.4,8.39,8.29,8.08,7.77,7.41,7.08,6.81,6.62,6.5,6.43,6.39,6.35
Canada,CAN,"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,58.63,58.51,58.5,58.58,58.75,58.99,59.37,59.87,60.44,61.03,61.62,62.36,63.01,63.63,64.25,64.89,65.37,65.9,66.42,66.87,67.2,67.44,67.6,67.66,67.66,67.6,67.53,67.43,67.31,67.17,67.03,66.9,66.78,66.69,66.64,66.64,66.65,66.75,66.9,67.08,67.24,67.48,67.69,67.88,68.06,68.22,68.37,68.49,68.57,68.56,68.48,68.28,68.07,67.82,67.52,67.18,66.87,66.5,66.1,65.71,65.32
Canada,CAN,Teenage mothers (% of women ages 15-19 who have had children or are currently preg0t),SP.MTR.1519.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
